CompanyC
Depot: C1, Transaction Type: Sell, Client: A38, Product: Product C, Total: 13
Depot: C2, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: C2, Transaction Type: Buy, Client: B27, Product: Product B, Total: 7

Depot: C2, Transaction Type: Sell, Client: B32, Product: Product C, Total: 9

Depot: C2, Transaction Type: Sell, Client: A11, Product: Product C, Total: 9

Depot: C2, Transaction Type: Sell, Client: B18, Product: Product C, Total: 9

Depot: C2, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: C2, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: C2, Transaction Type: Sell, Client: A3, Product: Product C, Total: 9

Depot: C2, Transaction Type: Sell, Client: B12, Product: Product C, Total: 9

Depot: C2, Transaction Type: Buy, Client: B1, Product: Product B, Total: 5

Depot: C2, Transaction Type: Buy, Client: B1, Product: Product B, Total: 5

Depot: C2, Transaction Type: Buy, Client: B13, Product: Product B, Total: 19

Depot: C2, Transaction Type: Sell, Client: B21, Product: Product C, Total: 9

Depot: C2, Transaction Type: Buy, Client: B17, Product: Product B, Total: 14

Depot: C2, Transaction Type: Sell, Client: B29, Product: Product C, Total: 9

Depot: C2, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: C2, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: C2, Transaction Type: Sell, Client: A19, Product: Product C, Total: 9

Depot: C2, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: C2, Transaction Type: Buy, Client: A3, Product: Product A, Total: 14

Depot: C2, Transaction Type: Sell, Client: B3, Product: Product C, Total: 9

Depot: C2, Transaction Type: Sell, Client: A20, Product: Product C, Total: 9

Depot: C2, Transaction Type: Sell, Client: A21, Product: Product C, Total: 9

Depot: C2, Transaction Type: Sell, Client: A1, Product: Product C, Total: 9

Depot: C2, Transaction Type: Sell, Client: A17, Product: Product C, Total: 9

Depot: C3, Transaction Type: Sell, Client: B43, Product: Product C, Total: 5

Depot: C3, Transaction Type: Sell, Client: A45, Product: Product C, Total: 5

Depot: C3, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: C3, Transaction Type: Buy, Client: A4, Product: Product A, Total: 13

Depot: C3, Transaction Type: Sell, Client: B5, Product: Product C, Total: 5

Depot: C3, Transaction Type: Buy, Client: B23, Product: Product B, Total: 13

Depot: C3, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: C3, Transaction Type: Sell, Client: A4, Product: Product C, Total: 5

Depot: C3, Transaction Type: Sell, Client: B3, Product: Product C, Total: 5

Depot: C3, Transaction Type: Sell, Client: A13, Product: Product C, Total: 5

Depot: C3, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: C3, Transaction Type: Buy, Client: B16, Product: Product B, Total: 9

Depot: C3, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: C3, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: C3, Transaction Type: Buy, Client: B9, Product: Product B, Total: 12

Depot: C3, Transaction Type: Buy, Client: B11, Product: Product B, Total: 14

Depot: C3, Transaction Type: Sell, Client: A9, Product: Product C, Total: 5

Depot: C3, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: C3, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: C3, Transaction Type: Sell, Client: A3, Product: Product C, Total: 5

Depot: C3, Transaction Type: Buy, Client: A16, Product: Product A, Total: 11

Depot: C3, Transaction Type: Buy, Client: A7, Product: Product A, Total: 15

Depot: C3, Transaction Type: Buy, Client: B2, Product: Product B, Total: 16

Depot: C3, Transaction Type: Buy, Client: B7, Product: Product B, Total: 5

Depot: C3, Transaction Type: Sell, Client: B5, Product: Product C, Total: 5

Depot: C3, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: C3, Transaction Type: Sell, Client: A14, Product: Product C, Total: 5

Depot: C4, Transaction Type: Sell, Client: A16, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A31, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: B12, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A6, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: B22, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A14, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A16, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A24, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: B2, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A7, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A12, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: B13, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A15, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A4, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A3, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A19, Product: Product C, Total: 2

Depot: C4, Transaction Type: Sell, Client: A19, Product: Product C, Total: 2

Depot: C5, Transaction Type: Sell, Client: B2, Product: Product C, Total: 16

Depot: C5, Transaction Type: Buy, Client: B29, Product: Product B, Total: 13

Depot: C5, Transaction Type: Buy, Client: B13, Product: Product B, Total: 19

Depot: C5, Transaction Type: Buy, Client: A5, Product: Product A, Total: 4

Depot: C5, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: C5, Transaction Type: Sell, Client: B24, Product: Product C, Total: 16

Depot: C5, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: C5, Transaction Type: Buy, Client: B22, Product: Product B, Total: 8

Depot: C5, Transaction Type: Sell, Client: B31, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: B1, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: B25, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: A24, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: A13, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: A13, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: A9, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: B15, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: A4, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: B5, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: B17, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: A18, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: B11, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: A18, Product: Product C, Total: 16

Depot: C5, Transaction Type: Sell, Client: B18, Product: Product C, Total: 16

Depot: C6, Transaction Type: Sell, Client: B23, Product: Product C, Total: 13

Depot: C6, Transaction Type: Buy, Client: B5, Product: Product B, Total: 15

Depot: C6, Transaction Type: Sell, Client: B24, Product: Product C, Total: 13

Depot: C6, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: C6, Transaction Type: Buy, Client: A2, Product: Product A, Total: 4

Depot: C6, Transaction Type: Sell, Client: A3, Product: Product C, Total: 13

Depot: C6, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: C6, Transaction Type: Sell, Client: A19, Product: Product C, Total: 13

Depot: C6, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: C6, Transaction Type: Sell, Client: B10, Product: Product C, Total: 13

Depot: C6, Transaction Type: Sell, Client: A24, Product: Product C, Total: 13

Depot: C6, Transaction Type: Sell, Client: A6, Product: Product C, Total: 13

Depot: C6, Transaction Type: Buy, Client: B7, Product: Product B, Total: 5

Depot: C6, Transaction Type: Sell, Client: A1, Product: Product C, Total: 13

Depot: C6, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: C6, Transaction Type: Sell, Client: B23, Product: Product C, Total: 13

Depot: C7, Transaction Type: Sell, Client: B12, Product: Product C, Total: 8

Depot: C7, Transaction Type: Buy, Client: A46, Product: Product A, Total: 10

Depot: C7, Transaction Type: Buy, Client: A12, Product: Product A, Total: 9

Depot: C7, Transaction Type: Sell, Client: A8, Product: Product C, Total: 8

Depot: C7, Transaction Type: Sell, Client: B17, Product: Product C, Total: 8

Depot: C7, Transaction Type: Sell, Client: A41, Product: Product C, Total: 8

Depot: C7, Transaction Type: Buy, Client: B20, Product: Product B, Total: 3

Depot: C7, Transaction Type: Buy, Client: B31, Product: Product B, Total: 12

Depot: C7, Transaction Type: Sell, Client: A9, Product: Product C, Total: 8

Depot: C7, Transaction Type: Buy, Client: B29, Product: Product B, Total: 13

Depot: C7, Transaction Type: Sell, Client: B26, Product: Product C, Total: 8

Depot: C7, Transaction Type: Sell, Client: A21, Product: Product C, Total: 8

Depot: C7, Transaction Type: Sell, Client: A13, Product: Product C, Total: 8

Depot: C7, Transaction Type: Buy, Client: A18, Product: Product A, Total: 8

Depot: C7, Transaction Type: Sell, Client: A28, Product: Product C, Total: 8

Depot: C7, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: C7, Transaction Type: Sell, Client: B9, Product: Product C, Total: 8

Depot: C7, Transaction Type: Sell, Client: A19, Product: Product C, Total: 8

Depot: C7, Transaction Type: Sell, Client: A4, Product: Product C, Total: 8

Depot: C7, Transaction Type: Buy, Client: B19, Product: Product B, Total: 13

Depot: C7, Transaction Type: Sell, Client: A5, Product: Product C, Total: 8

Depot: C7, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: C7, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: C7, Transaction Type: Buy, Client: B18, Product: Product B, Total: 14

Depot: C7, Transaction Type: Buy, Client: B1, Product: Product B, Total: 5

Depot: C7, Transaction Type: Buy, Client: A7, Product: Product A, Total: 15

Depot: C7, Transaction Type: Sell, Client: B7, Product: Product C, Total: 8

Depot: C7, Transaction Type: Sell, Client: B12, Product: Product C, Total: 8

Depot: C7, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: C7, Transaction Type: Buy, Client: A2, Product: Product A, Total: 4

Depot: C7, Transaction Type: Sell, Client: A6, Product: Product C, Total: 8

Depot: C7, Transaction Type: Sell, Client: A8, Product: Product C, Total: 8

Depot: C7, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: C7, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: C7, Transaction Type: Buy, Client: A5, Product: Product A, Total: 4

Depot: C8, Transaction Type: Buy, Client: B26, Product: Product B, Total: 15

Depot: C8, Transaction Type: Sell, Client: B8, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: A12, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: B25, Product: Product C, Total: 14

Depot: C8, Transaction Type: Buy, Client: A36, Product: Product A, Total: 4

Depot: C8, Transaction Type: Sell, Client: A29, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: B33, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: A9, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: A27, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: A22, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: B11, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: B11, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: A11, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: A22, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: A23, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: A5, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: A21, Product: Product C, Total: 14

Depot: C8, Transaction Type: Sell, Client: B21, Product: Product C, Total: 14

Depot: C9, Transaction Type: Buy, Client: A26, Product: Product A, Total: 7

Depot: C9, Transaction Type: Buy, Client: A2, Product: Product A, Total: 4

Depot: C9, Transaction Type: Sell, Client: A1, Product: Product C, Total: 6

Depot: C9, Transaction Type: Sell, Client: B10, Product: Product C, Total: 6

Depot: C9, Transaction Type: Sell, Client: B19, Product: Product C, Total: 6

Depot: C9, Transaction Type: Sell, Client: A31, Product: Product C, Total: 6

Depot: C9, Transaction Type: Sell, Client: B20, Product: Product C, Total: 6

Depot: C9, Transaction Type: Sell, Client: A15, Product: Product C, Total: 6

Depot: C9, Transaction Type: Sell, Client: B31, Product: Product C, Total: 6

Depot: C9, Transaction Type: Sell, Client: A20, Product: Product C, Total: 6

Depot: C10, Transaction Type: Sell, Client: B40, Product: Product C, Total: 17

Depot: C10, Transaction Type: Sell, Client: A21, Product: Product C, Total: 17

Depot: C10, Transaction Type: Buy, Client: A29, Product: Product A, Total: 9

Depot: C10, Transaction Type: Buy, Client: A28, Product: Product A, Total: 13

Depot: C10, Transaction Type: Buy, Client: A30, Product: Product A, Total: 6

Depot: C10, Transaction Type: Buy, Client: B27, Product: Product B, Total: 7

Depot: C10, Transaction Type: Buy, Client: B25, Product: Product B, Total: 6

Depot: C10, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: C10, Transaction Type: Sell, Client: B31, Product: Product C, Total: 17

Depot: C10, Transaction Type: Sell, Client: A22, Product: Product C, Total: 17

Depot: C10, Transaction Type: Sell, Client: A11, Product: Product C, Total: 17

Depot: C10, Transaction Type: Sell, Client: A13, Product: Product C, Total: 17

Depot: C10, Transaction Type: Sell, Client: B18, Product: Product C, Total: 17

Depot: C10, Transaction Type: Sell, Client: A7, Product: Product C, Total: 17

Depot: C10, Transaction Type: Sell, Client: B2, Product: Product C, Total: 17

Depot: C11, Transaction Type: Buy, Client: B35, Product: Product B, Total: 9

Depot: C11, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: C11, Transaction Type: Buy, Client: A35, Product: Product A, Total: 10

Depot: C11, Transaction Type: Sell, Client: B2, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: A6, Product: Product A, Total: 12

Depot: C11, Transaction Type: Buy, Client: A7, Product: Product A, Total: 15

Depot: C11, Transaction Type: Buy, Client: B34, Product: Product B, Total: 15

Depot: C11, Transaction Type: Sell, Client: B22, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: A5, Product: Product A, Total: 4

Depot: C11, Transaction Type: Sell, Client: A10, Product: Product C, Total: 4

Depot: C11, Transaction Type: Sell, Client: A34, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: C11, Transaction Type: Buy, Client: A24, Product: Product A, Total: 6

Depot: C11, Transaction Type: Buy, Client: B2, Product: Product B, Total: 16

Depot: C11, Transaction Type: Sell, Client: B13, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: B10, Product: Product B, Total: 15

Depot: C11, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: C11, Transaction Type: Sell, Client: A12, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: C11, Transaction Type: Sell, Client: B1, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: C11, Transaction Type: Sell, Client: B7, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: B18, Product: Product B, Total: 14

Depot: C11, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: C11, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: C11, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: C11, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: C11, Transaction Type: Sell, Client: B3, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: A18, Product: Product A, Total: 8

Depot: C11, Transaction Type: Buy, Client: A7, Product: Product A, Total: 15

Depot: C11, Transaction Type: Sell, Client: B7, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: C11, Transaction Type: Sell, Client: B7, Product: Product C, Total: 4

Depot: C11, Transaction Type: Sell, Client: A8, Product: Product C, Total: 4

Depot: C11, Transaction Type: Sell, Client: A14, Product: Product C, Total: 4

Depot: C11, Transaction Type: Sell, Client: B8, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: B7, Product: Product B, Total: 5

Depot: C11, Transaction Type: Sell, Client: A12, Product: Product C, Total: 4

Depot: C11, Transaction Type: Buy, Client: A5, Product: Product A, Total: 4

Depot: C11, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: C12, Transaction Type: Buy, Client: B20, Product: Product B, Total: 3

Depot: C12, Transaction Type: Sell, Client: B45, Product: Product C, Total: 8

Depot: C12, Transaction Type: Sell, Client: B10, Product: Product C, Total: 8

Depot: C12, Transaction Type: Sell, Client: A44, Product: Product C, Total: 8

Depot: C12, Transaction Type: Sell, Client: A43, Product: Product C, Total: 8

Depot: C12, Transaction Type: Sell, Client: A10, Product: Product C, Total: 8

Depot: C12, Transaction Type: Buy, Client: B42, Product: Product B, Total: 3

Depot: C12, Transaction Type: Sell, Client: B23, Product: Product C, Total: 8

Depot: C12, Transaction Type: Buy, Client: A29, Product: Product A, Total: 9

Depot: C12, Transaction Type: Buy, Client: B13, Product: Product B, Total: 19

Depot: C12, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: C12, Transaction Type: Buy, Client: A14, Product: Product A, Total: 18

Depot: C12, Transaction Type: Sell, Client: A5, Product: Product C, Total: 8

Depot: C12, Transaction Type: Buy, Client: B13, Product: Product B, Total: 19

Depot: C12, Transaction Type: Buy, Client: A24, Product: Product A, Total: 6

Depot: C12, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: C12, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: C12, Transaction Type: Buy, Client: B17, Product: Product B, Total: 14

Depot: C12, Transaction Type: Buy, Client: A9, Product: Product A, Total: 10

Depot: C12, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: C12, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: C12, Transaction Type: Sell, Client: A18, Product: Product C, Total: 8

Depot: C12, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: C12, Transaction Type: Sell, Client: B18, Product: Product C, Total: 8

Depot: C12, Transaction Type: Buy, Client: A18, Product: Product A, Total: 8

Depot: C12, Transaction Type: Sell, Client: B7, Product: Product C, Total: 8

Depot: C12, Transaction Type: Sell, Client: B19, Product: Product C, Total: 8

Depot: C12, Transaction Type: Sell, Client: A13, Product: Product C, Total: 8

Depot: C12, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: C12, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: C12, Transaction Type: Sell, Client: A13, Product: Product C, Total: 8

Depot: C12, Transaction Type: Sell, Client: A20, Product: Product C, Total: 8

Depot: C12, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: C12, Transaction Type: Sell, Client: A14, Product: Product C, Total: 8

Depot: C12, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: C13, Transaction Type: Sell, Client: A3, Product: Product C, Total: 15

Depot: C13, Transaction Type: Buy, Client: B31, Product: Product B, Total: 12

Depot: C13, Transaction Type: Buy, Client: A26, Product: Product A, Total: 7

Depot: C13, Transaction Type: Buy, Client: B21, Product: Product B, Total: 15

Depot: C13, Transaction Type: Sell, Client: A27, Product: Product C, Total: 15

Depot: C13, Transaction Type: Sell, Client: A23, Product: Product C, Total: 15

Depot: C13, Transaction Type: Sell, Client: A4, Product: Product C, Total: 15

Depot: C13, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: C13, Transaction Type: Sell, Client: A17, Product: Product C, Total: 15

Depot: C13, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: C13, Transaction Type: Buy, Client: B13, Product: Product B, Total: 19

Depot: C13, Transaction Type: Sell, Client: A24, Product: Product C, Total: 15

Depot: C13, Transaction Type: Buy, Client: A18, Product: Product A, Total: 8

Depot: C13, Transaction Type: Sell, Client: B11, Product: Product C, Total: 15

Depot: C13, Transaction Type: Buy, Client: B13, Product: Product B, Total: 19

Depot: C13, Transaction Type: Buy, Client: A18, Product: Product A, Total: 8

Depot: C13, Transaction Type: Buy, Client: A19, Product: Product A, Total: 16

Depot: C13, Transaction Type: Buy, Client: A4, Product: Product A, Total: 13

Depot: C13, Transaction Type: Sell, Client: A22, Product: Product C, Total: 15

Depot: C13, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: C13, Transaction Type: Sell, Client: A3, Product: Product C, Total: 15

Depot: C13, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: C13, Transaction Type: Sell, Client: A17, Product: Product C, Total: 15

Depot: C13, Transaction Type: Sell, Client: B19, Product: Product C, Total: 15

Depot: C13, Transaction Type: Buy, Client: B15, Product: Product B, Total: 10

Depot: C13, Transaction Type: Sell, Client: B9, Product: Product C, Total: 15

Depot: C13, Transaction Type: Sell, Client: B9, Product: Product C, Total: 15

Depot: C13, Transaction Type: Sell, Client: A19, Product: Product C, Total: 15

Depot: C13, Transaction Type: Sell, Client: B3, Product: Product C, Total: 15

Depot: C14, Transaction Type: Sell, Client: A28, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: B7, Product: Product B, Total: 5

Depot: C14, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: C14, Transaction Type: Buy, Client: A3, Product: Product A, Total: 14

Depot: C14, Transaction Type: Sell, Client: B26, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: A9, Product: Product A, Total: 10

Depot: C14, Transaction Type: Buy, Client: A4, Product: Product A, Total: 13

Depot: C14, Transaction Type: Buy, Client: A25, Product: Product A, Total: 6

Depot: C14, Transaction Type: Sell, Client: A28, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: B21, Product: Product B, Total: 15

Depot: C14, Transaction Type: Sell, Client: B23, Product: Product C, Total: 16

Depot: C14, Transaction Type: Sell, Client: B11, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: C14, Transaction Type: Sell, Client: A5, Product: Product C, Total: 16

Depot: C14, Transaction Type: Sell, Client: A11, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: B7, Product: Product B, Total: 5

Depot: C14, Transaction Type: Sell, Client: A3, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: A3, Product: Product A, Total: 14

Depot: C14, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: C14, Transaction Type: Sell, Client: B17, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: B7, Product: Product B, Total: 5

Depot: C14, Transaction Type: Sell, Client: A21, Product: Product C, Total: 16

Depot: C14, Transaction Type: Sell, Client: B7, Product: Product C, Total: 16

Depot: C14, Transaction Type: Sell, Client: A17, Product: Product C, Total: 16

Depot: C14, Transaction Type: Sell, Client: A5, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: C14, Transaction Type: Sell, Client: A12, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: B10, Product: Product B, Total: 15

Depot: C14, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: C14, Transaction Type: Sell, Client: A7, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: C14, Transaction Type: Sell, Client: A18, Product: Product C, Total: 16

Depot: C14, Transaction Type: Sell, Client: A8, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: C14, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: C14, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: C14, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: C14, Transaction Type: Sell, Client: A17, Product: Product C, Total: 16

Depot: C14, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

