CompanyB
Depot: B1, Transaction Type: Sell, Client: A45, Product: Product B, Total: 5
Depot: B7, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: B7, Transaction Type: Sell, Client: A3, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: A4, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: C11, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: C3, Product: Product B, Total: 5

Depot: B7, Transaction Type: Buy, Client: A16, Product: Product A, Total: 11

Depot: B8, Transaction Type: Buy, Client: C8, Product: Product C, Total: 14

Depot: B8, Transaction Type: Buy, Client: A29, Product: Product A, Total: 9

Depot: B8, Transaction Type: Buy, Client: C36, Product: Product C, Total: 9

Depot: B8, Transaction Type: Buy, Client: A38, Product: Product A, Total: 12

Depot: B8, Transaction Type: Sell, Client: C34, Product: Product B, Total: 18

Depot: B8, Transaction Type: Buy, Client: A29, Product: Product A, Total: 9

Depot: B8, Transaction Type: Sell, Client: A23, Product: Product B, Total: 18

Depot: B8, Transaction Type: Buy, Client: A29, Product: Product A, Total: 9

Depot: B8, Transaction Type: Buy, Client: A25, Product: Product A, Total: 6

Depot: B8, Transaction Type: Buy, Client: A2, Product: Product A, Total: 4

Depot: B8, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: B8, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: B9, Transaction Type: Sell, Client: A8, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: A28, Product: Product B, Total: 12

Depot: B9, Transaction Type: Buy, Client: C42, Product: Product C, Total: 10

Depot: B9, Transaction Type: Sell, Client: A4, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: C21, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: A34, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: A10, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: C27, Product: Product B, Total: 12

Depot: B9, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: B9, Transaction Type: Sell, Client: A10, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: A31, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: A14, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: A26, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: A5, Product: Product B, Total: 12

Depot: B9, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: B9, Transaction Type: Buy, Client: A26, Product: Product A, Total: 7

Depot: B9, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: B9, Transaction Type: Buy, Client: C19, Product: Product C, Total: 8

Depot: B9, Transaction Type: Buy, Client: C22, Product: Product C, Total: 7

Depot: B9, Transaction Type: Buy, Client: C18, Product: Product C, Total: 5

Depot: B9, Transaction Type: Sell, Client: C18, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: C3, Product: Product B, Total: 12

Depot: B9, Transaction Type: Sell, Client: A6, Product: Product B, Total: 12

Depot: B9, Transaction Type: Buy, Client: A19, Product: Product A, Total: 16

Depot: B9, Transaction Type: Sell, Client: C18, Product: Product B, Total: 12

Depot: B9, Transaction Type: Buy, Client: C16, Product: Product C, Total: 7

Depot: B9, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: B9, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: B9, Transaction Type: Buy, Client: C13, Product: Product C, Total: 15

Depot: B9, Transaction Type: Buy, Client: C22, Product: Product C, Total: 7

Depot: B9, Transaction Type: Buy, Client: C13, Product: Product C, Total: 15

Depot: B9, Transaction Type: Sell, Client: A15, Product: Product B, Total: 12

Depot: B10, Transaction Type: Buy, Client: C12, Product: Product C, Total: 8

Depot: B10, Transaction Type: Sell, Client: C21, Product: Product B, Total: 15

Depot: B10, Transaction Type: Buy, Client: C9, Product: Product C, Total: 6

Depot: B10, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: B10, Transaction Type: Sell, Client: C11, Product: Product B, Total: 15

Depot: B10, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: B10, Transaction Type: Buy, Client: C6, Product: Product C, Total: 13

Depot: B10, Transaction Type: Sell, Client: C18, Product: Product B, Total: 15

Depot: B10, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: B10, Transaction Type: Buy, Client: C26, Product: Product C, Total: 13

Depot: B10, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: B10, Transaction Type: Buy, Client: A16, Product: Product A, Total: 11

Depot: B10, Transaction Type: Sell, Client: A6, Product: Product B, Total: 15

Depot: B10, Transaction Type: Sell, Client: A13, Product: Product B, Total: 15

Depot: B10, Transaction Type: Sell, Client: A19, Product: Product B, Total: 15

Depot: B10, Transaction Type: Sell, Client: C14, Product: Product B, Total: 15

Depot: B10, Transaction Type: Sell, Client: A8, Product: Product B, Total: 15

Depot: B10, Transaction Type: Sell, Client: A18, Product: Product B, Total: 15

Depot: B10, Transaction Type: Sell, Client: A3, Product: Product B, Total: 15

Depot: B11, Transaction Type: Buy, Client: A49, Product: Product A, Total: 6

Depot: B11, Transaction Type: Sell, Client: C40, Product: Product B, Total: 14

Depot: B11, Transaction Type: Sell, Client: A30, Product: Product B, Total: 14

Depot: B11, Transaction Type: Sell, Client: A27, Product: Product B, Total: 14

Depot: B11, Transaction Type: Buy, Client: C14, Product: Product C, Total: 16

Depot: B11, Transaction Type: Sell, Client: A20, Product: Product B, Total: 14

Depot: B11, Transaction Type: Buy, Client: C13, Product: Product C, Total: 15

Depot: B11, Transaction Type: Sell, Client: A3, Product: Product B, Total: 14

Depot: B11, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: B11, Transaction Type: Buy, Client: C8, Product: Product C, Total: 14

Depot: B11, Transaction Type: Buy, Client: C8, Product: Product C, Total: 14

Depot: B11, Transaction Type: Buy, Client: A9, Product: Product A, Total: 10

Depot: B11, Transaction Type: Sell, Client: C3, Product: Product B, Total: 14

Depot: B11, Transaction Type: Buy, Client: C20, Product: Product C, Total: 4

Depot: B11, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: B11, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: B11, Transaction Type: Buy, Client: C5, Product: Product C, Total: 16

Depot: B11, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: B11, Transaction Type: Buy, Client: C18, Product: Product C, Total: 5

Depot: B12, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: B12, Transaction Type: Buy, Client: C4, Product: Product C, Total: 2

Depot: B12, Transaction Type: Buy, Client: A30, Product: Product A, Total: 6

Depot: B12, Transaction Type: Buy, Client: A6, Product: Product A, Total: 12

Depot: B12, Transaction Type: Sell, Client: A9, Product: Product B, Total: 19

Depot: B12, Transaction Type: Buy, Client: C24, Product: Product C, Total: 6

Depot: B12, Transaction Type: Sell, Client: C1, Product: Product B, Total: 19

Depot: B12, Transaction Type: Buy, Client: C32, Product: Product C, Total: 5

Depot: B12, Transaction Type: Sell, Client: C6, Product: Product B, Total: 19

Depot: B12, Transaction Type: Buy, Client: C2, Product: Product C, Total: 9

Depot: B12, Transaction Type: Sell, Client: A11, Product: Product B, Total: 19

Depot: B12, Transaction Type: Sell, Client: A17, Product: Product B, Total: 19

Depot: B12, Transaction Type: Buy, Client: C26, Product: Product C, Total: 13

Depot: B12, Transaction Type: Sell, Client: C7, Product: Product B, Total: 19

Depot: B12, Transaction Type: Buy, Client: A9, Product: Product A, Total: 10

Depot: B12, Transaction Type: Sell, Client: C3, Product: Product B, Total: 19

Depot: B12, Transaction Type: Sell, Client: A3, Product: Product B, Total: 19

Depot: B12, Transaction Type: Sell, Client: A17, Product: Product B, Total: 19

Depot: B12, Transaction Type: Buy, Client: A5, Product: Product A, Total: 4

Depot: B12, Transaction Type: Buy, Client: A4, Product: Product A, Total: 13

Depot: B12, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: B12, Transaction Type: Sell, Client: A9, Product: Product B, Total: 19

Depot: B12, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: B12, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: B12, Transaction Type: Sell, Client: C7, Product: Product B, Total: 19

Depot: B12, Transaction Type: Sell, Client: A21, Product: Product B, Total: 19

Depot: B12, Transaction Type: Sell, Client: C3, Product: Product B, Total: 19

Depot: B12, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: B12, Transaction Type: Sell, Client: C14, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: A20, Product: Product A, Total: 12

Depot: B13, Transaction Type: Sell, Client: C46, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: A16, Product: Product A, Total: 11

Depot: B13, Transaction Type: Sell, Client: A40, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: C24, Product: Product C, Total: 6

Depot: B13, Transaction Type: Sell, Client: A32, Product: Product B, Total: 19

Depot: B13, Transaction Type: Sell, Client: C29, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: B13, Transaction Type: Sell, Client: C5, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: C41, Product: Product C, Total: 11

Depot: B13, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: B13, Transaction Type: Sell, Client: A19, Product: Product B, Total: 19

Depot: B13, Transaction Type: Sell, Client: C27, Product: Product B, Total: 19

Depot: B13, Transaction Type: Sell, Client: C12, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: A2, Product: Product A, Total: 4

Depot: B13, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: B13, Transaction Type: Sell, Client: C13, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: A23, Product: Product A, Total: 10

Depot: B13, Transaction Type: Sell, Client: C12, Product: Product B, Total: 19

Depot: B13, Transaction Type: Sell, Client: C16, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: C21, Product: Product C, Total: 12

Depot: B13, Transaction Type: Sell, Client: A26, Product: Product B, Total: 19

Depot: B13, Transaction Type: Sell, Client: C2, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: C4, Product: Product C, Total: 2

Depot: B13, Transaction Type: Buy, Client: C16, Product: Product C, Total: 7

Depot: B13, Transaction Type: Sell, Client: C13, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: A2, Product: Product A, Total: 4

Depot: B13, Transaction Type: Sell, Client: A5, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: A7, Product: Product A, Total: 15

Depot: B13, Transaction Type: Sell, Client: A9, Product: Product B, Total: 19

Depot: B13, Transaction Type: Buy, Client: C17, Product: Product C, Total: 5

Depot: B13, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: B13, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: B13, Transaction Type: Buy, Client: A19, Product: Product A, Total: 16

Depot: B13, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: B13, Transaction Type: Sell, Client: A13, Product: Product B, Total: 19

Depot: B14, Transaction Type: Sell, Client: C11, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: A48, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: C14, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: A8, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: C11, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: C18, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: A15, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: C12, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: C12, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: A1, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: A3, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: A12, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: A8, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: A7, Product: Product B, Total: 9

Depot: B14, Transaction Type: Sell, Client: C11, Product: Product B, Total: 9

Depot: B15, Transaction Type: Buy, Client: C26, Product: Product C, Total: 13

Depot: B15, Transaction Type: Sell, Client: C18, Product: Product B, Total: 10

Depot: B15, Transaction Type: Sell, Client: A5, Product: Product B, Total: 10

Depot: B15, Transaction Type: Sell, Client: A13, Product: Product B, Total: 10

Depot: B15, Transaction Type: Buy, Client: A9, Product: Product A, Total: 10

Depot: B15, Transaction Type: Buy, Client: A28, Product: Product A, Total: 13

Depot: B15, Transaction Type: Buy, Client: A23, Product: Product A, Total: 10

Depot: B15, Transaction Type: Sell, Client: C22, Product: Product B, Total: 10

Depot: B15, Transaction Type: Sell, Client: A24, Product: Product B, Total: 10

Depot: B15, Transaction Type: Buy, Client: C25, Product: Product C, Total: 12

Depot: B15, Transaction Type: Buy, Client: A18, Product: Product A, Total: 8

Depot: B15, Transaction Type: Sell, Client: A17, Product: Product B, Total: 10

Depot: B15, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: B15, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: B15, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: B15, Transaction Type: Buy, Client: A4, Product: Product A, Total: 13

Depot: B15, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: B15, Transaction Type: Buy, Client: C5, Product: Product C, Total: 16

Depot: B15, Transaction Type: Sell, Client: C13, Product: Product B, Total: 10

Depot: B16, Transaction Type: Buy, Client: C26, Product: Product C, Total: 13

Depot: B16, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: B16, Transaction Type: Sell, Client: A22, Product: Product B, Total: 9

Depot: B16, Transaction Type: Sell, Client: A20, Product: Product B, Total: 9

Depot: B16, Transaction Type: Buy, Client: C32, Product: Product C, Total: 5

Depot: B16, Transaction Type: Sell, Client: A10, Product: Product B, Total: 9

Depot: B16, Transaction Type: Sell, Client: C18, Product: Product B, Total: 9

Depot: B16, Transaction Type: Sell, Client: A30, Product: Product B, Total: 9

Depot: B16, Transaction Type: Sell, Client: A11, Product: Product B, Total: 9

Depot: B16, Transaction Type: Sell, Client: C3, Product: Product B, Total: 9

Depot: B16, Transaction Type: Sell, Client: A9, Product: Product B, Total: 9

Depot: B16, Transaction Type: Sell, Client: A19, Product: Product B, Total: 9

Depot: B17, Transaction Type: Buy, Client: A45, Product: Product A, Total: 6

Depot: B17, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: B17, Transaction Type: Sell, Client: C26, Product: Product B, Total: 14

Depot: B17, Transaction Type: Sell, Client: A8, Product: Product B, Total: 14

Depot: B17, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

