CompanyA
Depot: A1, Transaction Type: Buy, Client: C9, Product: Product C, Total: 6
Depot: A3, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: A3, Transaction Type: Sell, Client: C2, Product: Product A, Total: 14

Depot: A3, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: A3, Transaction Type: Buy, Client: C13, Product: Product C, Total: 15

Depot: A3, Transaction Type: Buy, Client: B7, Product: Product B, Total: 5

Depot: A3, Transaction Type: Buy, Client: C3, Product: Product C, Total: 5

Depot: A3, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: A3, Transaction Type: Buy, Client: B10, Product: Product B, Total: 15

Depot: A4, Transaction Type: Buy, Client: C27, Product: Product C, Total: 13

Depot: A4, Transaction Type: Sell, Client: B35, Product: Product A, Total: 13

Depot: A4, Transaction Type: Buy, Client: B9, Product: Product B, Total: 12

Depot: A4, Transaction Type: Sell, Client: B38, Product: Product A, Total: 13

Depot: A4, Transaction Type: Buy, Client: B38, Product: Product B, Total: 15

Depot: A4, Transaction Type: Sell, Client: C23, Product: Product A, Total: 13

Depot: A4, Transaction Type: Buy, Client: C23, Product: Product C, Total: 2

Depot: A4, Transaction Type: Sell, Client: B5, Product: Product A, Total: 13

Depot: A4, Transaction Type: Buy, Client: B36, Product: Product B, Total: 6

Depot: A4, Transaction Type: Sell, Client: C14, Product: Product A, Total: 13

Depot: A4, Transaction Type: Sell, Client: C26, Product: Product A, Total: 13

Depot: A4, Transaction Type: Sell, Client: B5, Product: Product A, Total: 13

Depot: A4, Transaction Type: Sell, Client: C28, Product: Product A, Total: 13

Depot: A4, Transaction Type: Sell, Client: C3, Product: Product A, Total: 13

Depot: A4, Transaction Type: Buy, Client: C13, Product: Product C, Total: 15

Depot: A4, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: A4, Transaction Type: Buy, Client: C3, Product: Product C, Total: 5

Depot: A4, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: A4, Transaction Type: Buy, Client: C4, Product: Product C, Total: 2

Depot: A4, Transaction Type: Sell, Client: C16, Product: Product A, Total: 13

Depot: A4, Transaction Type: Sell, Client: C13, Product: Product A, Total: 13

Depot: A4, Transaction Type: Sell, Client: B15, Product: Product A, Total: 13

Depot: A4, Transaction Type: Sell, Client: B20, Product: Product A, Total: 13

Depot: A4, Transaction Type: Buy, Client: C5, Product: Product C, Total: 16

Depot: A4, Transaction Type: Sell, Client: B12, Product: Product A, Total: 13

Depot: A4, Transaction Type: Sell, Client: B5, Product: Product A, Total: 13

Depot: A4, Transaction Type: Buy, Client: B21, Product: Product B, Total: 15

Depot: A4, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: A4, Transaction Type: Buy, Client: B7, Product: Product B, Total: 5

Depot: A5, Transaction Type: Sell, Client: B28, Product: Product A, Total: 4

Depot: A5, Transaction Type: Buy, Client: B15, Product: Product B, Total: 10

Depot: A5, Transaction Type: Sell, Client: C42, Product: Product A, Total: 4

Depot: A5, Transaction Type: Sell, Client: C5, Product: Product A, Total: 4

Depot: A5, Transaction Type: Buy, Client: C40, Product: Product C, Total: 8

Depot: A5, Transaction Type: Sell, Client: C33, Product: Product A, Total: 4

Depot: A5, Transaction Type: Sell, Client: B32, Product: Product A, Total: 4

Depot: A5, Transaction Type: Sell, Client: C11, Product: Product A, Total: 4

Depot: A5, Transaction Type: Buy, Client: B31, Product: Product B, Total: 12

Depot: A5, Transaction Type: Sell, Client: C24, Product: Product A, Total: 4

Depot: A5, Transaction Type: Buy, Client: B23, Product: Product B, Total: 13

Depot: A5, Transaction Type: Buy, Client: C12, Product: Product C, Total: 8

Depot: A5, Transaction Type: Buy, Client: B9, Product: Product B, Total: 12

Depot: A5, Transaction Type: Buy, Client: C23, Product: Product C, Total: 2

Depot: A5, Transaction Type: Sell, Client: C20, Product: Product A, Total: 4

Depot: A5, Transaction Type: Buy, Client: B19, Product: Product B, Total: 13

Depot: A5, Transaction Type: Buy, Client: C14, Product: Product C, Total: 16

Depot: A5, Transaction Type: Buy, Client: B1, Product: Product B, Total: 5

Depot: A5, Transaction Type: Buy, Client: C20, Product: Product C, Total: 4

Depot: A5, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: A5, Transaction Type: Buy, Client: C20, Product: Product C, Total: 4

Depot: A5, Transaction Type: Buy, Client: B19, Product: Product B, Total: 13

Depot: A5, Transaction Type: Buy, Client: B13, Product: Product B, Total: 19

Depot: A5, Transaction Type: Buy, Client: C16, Product: Product C, Total: 7

Depot: A5, Transaction Type: Sell, Client: B12, Product: Product A, Total: 4

Depot: A5, Transaction Type: Buy, Client: C8, Product: Product C, Total: 14

Depot: A5, Transaction Type: Buy, Client: C14, Product: Product C, Total: 16

Depot: A5, Transaction Type: Sell, Client: B17, Product: Product A, Total: 4

Depot: A5, Transaction Type: Sell, Client: C1, Product: Product A, Total: 4

Depot: A5, Transaction Type: Sell, Client: B5, Product: Product A, Total: 4

Depot: A5, Transaction Type: Sell, Client: C7, Product: Product A, Total: 4

Depot: A5, Transaction Type: Sell, Client: C11, Product: Product A, Total: 4

Depot: A6, Transaction Type: Sell, Client: C47, Product: Product A, Total: 12

Depot: A6, Transaction Type: Sell, Client: C11, Product: Product A, Total: 12

Depot: A6, Transaction Type: Buy, Client: B37, Product: Product B, Total: 8

Depot: A6, Transaction Type: Sell, Client: B12, Product: Product A, Total: 12

Depot: A6, Transaction Type: Sell, Client: C19, Product: Product A, Total: 12

Depot: A6, Transaction Type: Buy, Client: B35, Product: Product B, Total: 9

Depot: A6, Transaction Type: Buy, Client: C22, Product: Product C, Total: 7

Depot: A6, Transaction Type: Buy, Client: C4, Product: Product C, Total: 2

Depot: A6, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: A6, Transaction Type: Buy, Client: C6, Product: Product C, Total: 13

Depot: A6, Transaction Type: Buy, Client: B27, Product: Product B, Total: 7

Depot: A6, Transaction Type: Buy, Client: B10, Product: Product B, Total: 15

Depot: A6, Transaction Type: Buy, Client: B9, Product: Product B, Total: 12

Depot: A6, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: A6, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: A6, Transaction Type: Buy, Client: B21, Product: Product B, Total: 15

Depot: A6, Transaction Type: Buy, Client: C19, Product: Product C, Total: 8

Depot: A6, Transaction Type: Buy, Client: B21, Product: Product B, Total: 15

Depot: A7, Transaction Type: Sell, Client: C11, Product: Product A, Total: 15

Depot: A7, Transaction Type: Buy, Client: B17, Product: Product B, Total: 14

Depot: A7, Transaction Type: Buy, Client: B22, Product: Product B, Total: 8

Depot: A7, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: A7, Transaction Type: Sell, Client: C33, Product: Product A, Total: 15

Depot: A7, Transaction Type: Buy, Client: B35, Product: Product B, Total: 9

Depot: A7, Transaction Type: Buy, Client: C17, Product: Product C, Total: 5

Depot: A7, Transaction Type: Buy, Client: B17, Product: Product B, Total: 14

Depot: A7, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: A7, Transaction Type: Buy, Client: B29, Product: Product B, Total: 13

Depot: A7, Transaction Type: Sell, Client: B5, Product: Product A, Total: 15

Depot: A7, Transaction Type: Buy, Client: C4, Product: Product C, Total: 2

Depot: A7, Transaction Type: Sell, Client: B26, Product: Product A, Total: 15

Depot: A7, Transaction Type: Buy, Client: B21, Product: Product B, Total: 15

Depot: A7, Transaction Type: Sell, Client: C1, Product: Product A, Total: 15

Depot: A7, Transaction Type: Buy, Client: C10, Product: Product C, Total: 17

Depot: A7, Transaction Type: Sell, Client: B17, Product: Product A, Total: 15

Depot: A7, Transaction Type: Sell, Client: B24, Product: Product A, Total: 15

Depot: A7, Transaction Type: Sell, Client: B13, Product: Product A, Total: 15

Depot: A7, Transaction Type: Sell, Client: C11, Product: Product A, Total: 15

Depot: A7, Transaction Type: Sell, Client: C7, Product: Product A, Total: 15

Depot: A7, Transaction Type: Buy, Client: C14, Product: Product C, Total: 16

Depot: A7, Transaction Type: Buy, Client: C18, Product: Product C, Total: 5

Depot: A7, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: A7, Transaction Type: Sell, Client: C3, Product: Product A, Total: 15

Depot: A7, Transaction Type: Sell, Client: C1, Product: Product A, Total: 15

Depot: A7, Transaction Type: Buy, Client: B1, Product: Product B, Total: 5

Depot: A7, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: A7, Transaction Type: Sell, Client: B5, Product: Product A, Total: 15

Depot: A8, Transaction Type: Buy, Client: B9, Product: Product B, Total: 12

Depot: A8, Transaction Type: Sell, Client: C32, Product: Product A, Total: 20

Depot: A8, Transaction Type: Sell, Client: C30, Product: Product A, Total: 20

Depot: A8, Transaction Type: Sell, Client: B17, Product: Product A, Total: 20

Depot: A8, Transaction Type: Sell, Client: B36, Product: Product A, Total: 20

Depot: A8, Transaction Type: Buy, Client: B17, Product: Product B, Total: 14

Depot: A8, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: A8, Transaction Type: Sell, Client: C31, Product: Product A, Total: 20

Depot: A8, Transaction Type: Sell, Client: B19, Product: Product A, Total: 20

Depot: A8, Transaction Type: Sell, Client: B42, Product: Product A, Total: 20

Depot: A8, Transaction Type: Buy, Client: B24, Product: Product B, Total: 14

Depot: A8, Transaction Type: Sell, Client: B13, Product: Product A, Total: 20

Depot: A8, Transaction Type: Sell, Client: B2, Product: Product A, Total: 20

Depot: A8, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: A8, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: A8, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: A8, Transaction Type: Sell, Client: C13, Product: Product A, Total: 20

Depot: A8, Transaction Type: Buy, Client: C24, Product: Product C, Total: 6

Depot: A8, Transaction Type: Buy, Client: C28, Product: Product C, Total: 15

Depot: A8, Transaction Type: Sell, Client: C14, Product: Product A, Total: 20

Depot: A8, Transaction Type: Sell, Client: B18, Product: Product A, Total: 20

Depot: A8, Transaction Type: Sell, Client: C3, Product: Product A, Total: 20

Depot: A8, Transaction Type: Buy, Client: C19, Product: Product C, Total: 8

Depot: A8, Transaction Type: Sell, Client: B10, Product: Product A, Total: 20

Depot: A8, Transaction Type: Sell, Client: C14, Product: Product A, Total: 20

Depot: A8, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: A8, Transaction Type: Buy, Client: B20, Product: Product B, Total: 3

Depot: A8, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: A8, Transaction Type: Buy, Client: B20, Product: Product B, Total: 3

Depot: A8, Transaction Type: Sell, Client: C1, Product: Product A, Total: 20

Depot: A8, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: A8, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: A8, Transaction Type: Sell, Client: C14, Product: Product A, Total: 20

Depot: A8, Transaction Type: Buy, Client: C14, Product: Product C, Total: 16

Depot: A8, Transaction Type: Buy, Client: B10, Product: Product B, Total: 15

Depot: A8, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: A8, Transaction Type: Sell, Client: B17, Product: Product A, Total: 20

Depot: A8, Transaction Type: Buy, Client: B1, Product: Product B, Total: 5

Depot: A8, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: A9, Transaction Type: Sell, Client: C44, Product: Product A, Total: 10

Depot: A9, Transaction Type: Sell, Client: C37, Product: Product A, Total: 10

Depot: A9, Transaction Type: Sell, Client: C23, Product: Product A, Total: 10

Depot: A9, Transaction Type: Sell, Client: C31, Product: Product A, Total: 10

Depot: A9, Transaction Type: Sell, Client: B20, Product: Product A, Total: 10

Depot: A9, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: A9, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: A9, Transaction Type: Buy, Client: B22, Product: Product B, Total: 8

Depot: A9, Transaction Type: Sell, Client: C14, Product: Product A, Total: 10

Depot: A9, Transaction Type: Buy, Client: B7, Product: Product B, Total: 5

Depot: A9, Transaction Type: Sell, Client: B28, Product: Product A, Total: 10

Depot: A9, Transaction Type: Buy, Client: B3, Product: Product B, Total: 15

Depot: A9, Transaction Type: Buy, Client: B21, Product: Product B, Total: 15

Depot: A9, Transaction Type: Sell, Client: B15, Product: Product A, Total: 10

Depot: A9, Transaction Type: Buy, Client: B26, Product: Product B, Total: 15

Depot: A9, Transaction Type: Buy, Client: C8, Product: Product C, Total: 14

Depot: A9, Transaction Type: Sell, Client: C24, Product: Product A, Total: 10

Depot: A9, Transaction Type: Sell, Client: B3, Product: Product A, Total: 10

Depot: A9, Transaction Type: Buy, Client: C20, Product: Product C, Total: 4

Depot: A9, Transaction Type: Buy, Client: C21, Product: Product C, Total: 12

Depot: A9, Transaction Type: Sell, Client: C12, Product: Product A, Total: 10

Depot: A9, Transaction Type: Buy, Client: B21, Product: Product B, Total: 15

Depot: A9, Transaction Type: Sell, Client: B12, Product: Product A, Total: 10

Depot: A9, Transaction Type: Buy, Client: C5, Product: Product C, Total: 16

Depot: A9, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: A9, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: A9, Transaction Type: Buy, Client: B13, Product: Product B, Total: 19

Depot: A9, Transaction Type: Buy, Client: B16, Product: Product B, Total: 9

Depot: A9, Transaction Type: Sell, Client: B11, Product: Product A, Total: 10

Depot: A9, Transaction Type: Buy, Client: C3, Product: Product C, Total: 5

Depot: A9, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: A9, Transaction Type: Buy, Client: C16, Product: Product C, Total: 7

Depot: A9, Transaction Type: Buy, Client: C18, Product: Product C, Total: 5

Depot: A9, Transaction Type: Sell, Client: B19, Product: Product A, Total: 10

Depot: A9, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: A9, Transaction Type: Buy, Client: C21, Product: Product C, Total: 12

Depot: A10, Transaction Type: Buy, Client: C29, Product: Product C, Total: 17

Depot: A10, Transaction Type: Buy, Client: C37, Product: Product C, Total: 7

Depot: A10, Transaction Type: Buy, Client: B1, Product: Product B, Total: 5

Depot: A10, Transaction Type: Buy, Client: C41, Product: Product C, Total: 11

Depot: A10, Transaction Type: Buy, Client: C12, Product: Product C, Total: 8

Depot: A10, Transaction Type: Sell, Client: C2, Product: Product A, Total: 6

Depot: A10, Transaction Type: Buy, Client: B26, Product: Product B, Total: 15

Depot: A10, Transaction Type: Sell, Client: B13, Product: Product A, Total: 6

Depot: A10, Transaction Type: Buy, Client: B16, Product: Product B, Total: 9

Depot: A10, Transaction Type: Buy, Client: B9, Product: Product B, Total: 12

Depot: A10, Transaction Type: Buy, Client: C29, Product: Product C, Total: 17

Depot: A10, Transaction Type: Sell, Client: C5, Product: Product A, Total: 6

Depot: A10, Transaction Type: Buy, Client: B28, Product: Product B, Total: 13

Depot: A10, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: A10, Transaction Type: Buy, Client: B4, Product: Product B, Total: 9

Depot: A10, Transaction Type: Buy, Client: C32, Product: Product C, Total: 5

Depot: A10, Transaction Type: Buy, Client: B28, Product: Product B, Total: 13

Depot: A10, Transaction Type: Buy, Client: B9, Product: Product B, Total: 12

Depot: A10, Transaction Type: Sell, Client: C23, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: C12, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: B24, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: B1, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: B15, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: C11, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: C3, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: B15, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: C13, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: B11, Product: Product A, Total: 6

Depot: A10, Transaction Type: Sell, Client: C14, Product: Product A, Total: 6

Depot: A11, Transaction Type: Buy, Client: C35, Product: Product C, Total: 13

Depot: A11, Transaction Type: Sell, Client: C32, Product: Product A, Total: 17

Depot: A11, Transaction Type: Buy, Client: C32, Product: Product C, Total: 5

Depot: A11, Transaction Type: Sell, Client: B1, Product: Product A, Total: 17

Depot: A11, Transaction Type: Sell, Client: C6, Product: Product A, Total: 17

Depot: A11, Transaction Type: Sell, Client: B40, Product: Product A, Total: 17

Depot: A11, Transaction Type: Sell, Client: C27, Product: Product A, Total: 17

Depot: A11, Transaction Type: Buy, Client: C2, Product: Product C, Total: 9

Depot: A11, Transaction Type: Sell, Client: B9, Product: Product A, Total: 17

Depot: A11, Transaction Type: Buy, Client: B16, Product: Product B, Total: 9

Depot: A11, Transaction Type: Buy, Client: B22, Product: Product B, Total: 8

Depot: A11, Transaction Type: Sell, Client: C16, Product: Product A, Total: 17

Depot: A11, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: A11, Transaction Type: Buy, Client: C10, Product: Product C, Total: 17

Depot: A11, Transaction Type: Sell, Client: C1, Product: Product A, Total: 17

Depot: A11, Transaction Type: Buy, Client: C14, Product: Product C, Total: 16

Depot: A11, Transaction Type: Sell, Client: B15, Product: Product A, Total: 17

Depot: A11, Transaction Type: Buy, Client: C8, Product: Product C, Total: 14

Depot: A11, Transaction Type: Sell, Client: C13, Product: Product A, Total: 17

Depot: A11, Transaction Type: Sell, Client: B15, Product: Product A, Total: 17

Depot: A11, Transaction Type: Sell, Client: B19, Product: Product A, Total: 17

Depot: A11, Transaction Type: Sell, Client: B13, Product: Product A, Total: 17

Depot: A11, Transaction Type: Sell, Client: B1, Product: Product A, Total: 17

Depot: A11, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: A11, Transaction Type: Sell, Client: B9, Product: Product A, Total: 17

Depot: A11, Transaction Type: Buy, Client: C17, Product: Product C, Total: 5

Depot: A11, Transaction Type: Buy, Client: B1, Product: Product B, Total: 5

Depot: A11, Transaction Type: Sell, Client: B17, Product: Product A, Total: 17

Depot: A11, Transaction Type: Sell, Client: C1, Product: Product A, Total: 17

Depot: A11, Transaction Type: Buy, Client: B21, Product: Product B, Total: 15

Depot: A12, Transaction Type: Sell, Client: B47, Product: Product A, Total: 9

Depot: A12, Transaction Type: Sell, Client: C2, Product: Product A, Total: 9

Depot: A12, Transaction Type: Sell, Client: C33, Product: Product A, Total: 9

Depot: A12, Transaction Type: Buy, Client: C25, Product: Product C, Total: 12

Depot: A12, Transaction Type: Sell, Client: C7, Product: Product A, Total: 9

Depot: A12, Transaction Type: Sell, Client: B35, Product: Product A, Total: 9

Depot: A12, Transaction Type: Sell, Client: C20, Product: Product A, Total: 9

Depot: A12, Transaction Type: Buy, Client: B19, Product: Product B, Total: 13

Depot: A12, Transaction Type: Buy, Client: C8, Product: Product C, Total: 14

Depot: A12, Transaction Type: Sell, Client: B17, Product: Product A, Total: 9

Depot: A12, Transaction Type: Sell, Client: B5, Product: Product A, Total: 9

Depot: A12, Transaction Type: Buy, Client: C35, Product: Product C, Total: 13

Depot: A12, Transaction Type: Sell, Client: C34, Product: Product A, Total: 9

Depot: A12, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: A12, Transaction Type: Buy, Client: C35, Product: Product C, Total: 13

Depot: A12, Transaction Type: Sell, Client: C25, Product: Product A, Total: 9

Depot: A12, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: A12, Transaction Type: Buy, Client: B18, Product: Product B, Total: 14

Depot: A12, Transaction Type: Buy, Client: C4, Product: Product C, Total: 2

Depot: A12, Transaction Type: Buy, Client: C25, Product: Product C, Total: 12

Depot: A12, Transaction Type: Buy, Client: C21, Product: Product C, Total: 12

Depot: A12, Transaction Type: Buy, Client: C18, Product: Product C, Total: 5

Depot: A12, Transaction Type: Buy, Client: C14, Product: Product C, Total: 16

Depot: A12, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: A12, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: A12, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: A12, Transaction Type: Buy, Client: B19, Product: Product B, Total: 13

Depot: A13, Transaction Type: Buy, Client: B43, Product: Product B, Total: 3

Depot: A13, Transaction Type: Sell, Client: B10, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: C21, Product: Product C, Total: 12

Depot: A13, Transaction Type: Buy, Client: B15, Product: Product B, Total: 10

Depot: A13, Transaction Type: Sell, Client: C16, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: B30, Product: Product B, Total: 7

Depot: A13, Transaction Type: Sell, Client: C12, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: C34, Product: Product C, Total: 9

Depot: A13, Transaction Type: Sell, Client: C13, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: B26, Product: Product B, Total: 15

Depot: A13, Transaction Type: Buy, Client: C17, Product: Product C, Total: 5

Depot: A13, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: A13, Transaction Type: Buy, Client: B24, Product: Product B, Total: 14

Depot: A13, Transaction Type: Sell, Client: B19, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: C19, Product: Product C, Total: 8

Depot: A13, Transaction Type: Sell, Client: B20, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: C5, Product: Product C, Total: 16

Depot: A13, Transaction Type: Buy, Client: C10, Product: Product C, Total: 17

Depot: A13, Transaction Type: Buy, Client: C3, Product: Product C, Total: 5

Depot: A13, Transaction Type: Sell, Client: C11, Product: Product A, Total: 8

Depot: A13, Transaction Type: Sell, Client: B21, Product: Product A, Total: 8

Depot: A13, Transaction Type: Sell, Client: C12, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: C5, Product: Product C, Total: 16

Depot: A13, Transaction Type: Buy, Client: B1, Product: Product B, Total: 5

Depot: A13, Transaction Type: Sell, Client: B4, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: B10, Product: Product B, Total: 15

Depot: A13, Transaction Type: Buy, Client: C17, Product: Product C, Total: 5

Depot: A13, Transaction Type: Buy, Client: C12, Product: Product C, Total: 8

Depot: A13, Transaction Type: Sell, Client: B13, Product: Product A, Total: 8

Depot: A13, Transaction Type: Sell, Client: B9, Product: Product A, Total: 8

Depot: A13, Transaction Type: Sell, Client: B7, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: C12, Product: Product C, Total: 8

Depot: A13, Transaction Type: Sell, Client: B11, Product: Product A, Total: 8

Depot: A13, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: A13, Transaction Type: Buy, Client: B13, Product: Product B, Total: 19

Depot: A14, Transaction Type: Buy, Client: C25, Product: Product C, Total: 12

Depot: A14, Transaction Type: Buy, Client: B18, Product: Product B, Total: 14

